artist,song,features
Queen,Hammer To Fall - Remastered 2011,"[{'danceability': 0.428, 'energy': 0.787, 'key': 9, 'loudness': -4.998, 'mode': 1, 'speechiness': 0.0849, 'acousticness': 0.315, 'instrumentalness': 2.03e-05, 'liveness': 0.124, 'valence': 0.523, 'tempo': 128.582, 'type': 'audio_features', 'id': '4zguEJ2UaLe4zbEIDWqiVP', 'uri': 'spotify:track:4zguEJ2UaLe4zbEIDWqiVP', 'track_href': 'https://api.spotify.com/v1/tracks/4zguEJ2UaLe4zbEIDWqiVP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4zguEJ2UaLe4zbEIDWqiVP', 'duration_ms': 218320, 'time_signature': 4}]"
Queen,Too Much Love Will Kill You - Remastered 2011,"[{'danceability': 0.385, 'energy': 0.395, 'key': 7, 'loudness': -7.602, 'mode': 1, 'speechiness': 0.0313, 'acousticness': 0.58, 'instrumentalness': 6.31e-05, 'liveness': 0.159, 'valence': 0.21, 'tempo': 72.933, 'type': 'audio_features', 'id': '0W1uTK6I97CbjFKAVtRGfK', 'uri': 'spotify:track:0W1uTK6I97CbjFKAVtRGfK', 'track_href': 'https://api.spotify.com/v1/tracks/0W1uTK6I97CbjFKAVtRGfK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0W1uTK6I97CbjFKAVtRGfK', 'duration_ms': 259213, 'time_signature': 4}]"
Queen,Bicycle Race - Remastered 2011,"[{'danceability': 0.463, 'energy': 0.671, 'key': 3, 'loudness': -6.438, 'mode': 1, 'speechiness': 0.0683, 'acousticness': 0.0626, 'instrumentalness': 0, 'liveness': 0.0947, 'valence': 0.633, 'tempo': 84.28, 'type': 'audio_features', 'id': '5CTAcf8aS0a0sIsDwQRF9C', 'uri': 'spotify:track:5CTAcf8aS0a0sIsDwQRF9C', 'track_href': 'https://api.spotify.com/v1/tracks/5CTAcf8aS0a0sIsDwQRF9C', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5CTAcf8aS0a0sIsDwQRF9C', 'duration_ms': 180813, 'time_signature': 4}]"
Queen,We Are The Champions - Live Aid,"[{'danceability': 0.316, 'energy': 0.86, 'key': 7, 'loudness': -5.038, 'mode': 0, 'speechiness': 0.0661, 'acousticness': 0.175, 'instrumentalness': 4.92e-05, 'liveness': 0.902, 'valence': 0.195, 'tempo': 100.888, 'type': 'audio_features', 'id': '4XaG9IpCXklOcuau1sIrUX', 'uri': 'spotify:track:4XaG9IpCXklOcuau1sIrUX', 'track_href': 'https://api.spotify.com/v1/tracks/4XaG9IpCXklOcuau1sIrUX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4XaG9IpCXklOcuau1sIrUX', 'duration_ms': 237026, 'time_signature': 3}]"
Queen,Who Wants To Live Forever - Remastered 2011,"[{'danceability': 0.182, 'energy': 0.388, 'key': 4, 'loudness': -8.672, 'mode': 0, 'speechiness': 0.0324, 'acousticness': 0.544, 'instrumentalness': 0.00134, 'liveness': 0.114, 'valence': 0.0392, 'tempo': 139.276, 'type': 'audio_features', 'id': '3SGP8It5WDnCONyApJKRTJ', 'uri': 'spotify:track:3SGP8It5WDnCONyApJKRTJ', 'track_href': 'https://api.spotify.com/v1/tracks/3SGP8It5WDnCONyApJKRTJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3SGP8It5WDnCONyApJKRTJ', 'duration_ms': 295333, 'time_signature': 4}]"
Queen,Friends Will Be Friends - Remastered 2011,"[{'danceability': 0.447, 'energy': 0.531, 'key': 7, 'loudness': -7.721, 'mode': 1, 'speechiness': 0.0269, 'acousticness': 0.0377, 'instrumentalness': 1.28e-05, 'liveness': 0.336, 'valence': 0.339, 'tempo': 75.051, 'type': 'audio_features', 'id': '3EGlnkJGcwz73rT0oE0X1X', 'uri': 'spotify:track:3EGlnkJGcwz73rT0oE0X1X', 'track_href': 'https://api.spotify.com/v1/tracks/3EGlnkJGcwz73rT0oE0X1X', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3EGlnkJGcwz73rT0oE0X1X', 'duration_ms': 246907, 'time_signature': 3}]"
Queen,Cool Cat - Remastered 2011,"[{'danceability': 0.818, 'energy': 0.4, 'key': 9, 'loudness': -9.927, 'mode': 1, 'speechiness': 0.11, 'acousticness': 0.302, 'instrumentalness': 0.00241, 'liveness': 0.18, 'valence': 0.838, 'tempo': 73.76, 'type': 'audio_features', 'id': '7nhWtCc3v6Vem80gYPlppQ', 'uri': 'spotify:track:7nhWtCc3v6Vem80gYPlppQ', 'track_href': 'https://api.spotify.com/v1/tracks/7nhWtCc3v6Vem80gYPlppQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7nhWtCc3v6Vem80gYPlppQ', 'duration_ms': 209107, 'time_signature': 4}]"
Queen,Seven Seas Of Rhye - Remastered 2011,"[{'danceability': 0.317, 'energy': 0.896, 'key': 2, 'loudness': -6.089, 'mode': 1, 'speechiness': 0.104, 'acousticness': 0.122, 'instrumentalness': 0.0168, 'liveness': 0.253, 'valence': 0.421, 'tempo': 126.894, 'type': 'audio_features', 'id': '1IhLUUzMxDDJ9pzfT95exy', 'uri': 'spotify:track:1IhLUUzMxDDJ9pzfT95exy', 'track_href': 'https://api.spotify.com/v1/tracks/1IhLUUzMxDDJ9pzfT95exy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1IhLUUzMxDDJ9pzfT95exy', 'duration_ms': 168973, 'time_signature': 4}]"
Queen,I Was Born To Love You - 2011 Remaster,"[{'danceability': 0.449, 'energy': 0.908, 'key': 8, 'loudness': -6.131, 'mode': 1, 'speechiness': 0.0853, 'acousticness': 0.0833, 'instrumentalness': 0, 'liveness': 0.0971, 'valence': 0.495, 'tempo': 139.083, 'type': 'audio_features', 'id': '7DtdhIJlSSOaAFNk4JdXCb', 'uri': 'spotify:track:7DtdhIJlSSOaAFNk4JdXCb', 'track_href': 'https://api.spotify.com/v1/tracks/7DtdhIJlSSOaAFNk4JdXCb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7DtdhIJlSSOaAFNk4JdXCb', 'duration_ms': 289813, 'time_signature': 4}]"
Queen,Innuendo - Remastered 2011,"[{'danceability': 0.346, 'energy': 0.728, 'key': 1, 'loudness': -5.747, 'mode': 1, 'speechiness': 0.0451, 'acousticness': 0.187, 'instrumentalness': 0.00379, 'liveness': 0.344, 'valence': 0.174, 'tempo': 74.939, 'type': 'audio_features', 'id': '0BzhS74ByIVlyz8BedHaYi', 'uri': 'spotify:track:0BzhS74ByIVlyz8BedHaYi', 'track_href': 'https://api.spotify.com/v1/tracks/0BzhS74ByIVlyz8BedHaYi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0BzhS74ByIVlyz8BedHaYi', 'duration_ms': 393027, 'time_signature': 4}]"
