artist,track,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
albert king,travelin' man,0.671,0.758,-6.999,0.126,0.206,0.00754,0.0408,0.868,102.17,3
black joe lewis & the honeybears,black snake,0.78,0.711,-4.362,0.0294,0.00964,0.0016,0.144,0.97,104.694,3
the commitments,mustang sally,0.744,0.735,-10.766,0.0587,0.011,0.0,0.0564,0.891,115.062,3
dire straits,sultans of swing,0.73,0.868,-7.325,0.0288,0.0632,0.0661,0.318,0.923,148.217,3
jd mcpherson,head over heels,0.867,0.899,-5.334,0.0354,0.101,0.00473,0.125,0.932,128.062,3
elbow,grounds for divorce,0.526,0.756,-5.083,0.0266,0.4,2.39e-06,0.426,0.668,91.985,5
free,all right now,0.781,0.484,-12.853,0.087,0.247,0.000138,0.147,0.804,119.993,3
tom petty and the heartbreakers,runnin' down a dream,0.438,0.966,-6.103,0.0445,0.000442,0.463,0.691,0.713,169.798,5
muddy waters,(i'm your) hoochie coochie man,0.692,0.312,-11.684,0.0375,0.833,0.0,0.0534,0.878,71.816,6
dan auerbach,"heartbroken, in disrepair",0.601,0.901,-8.414,0.0463,0.00912,0.256,0.264,0.934,77.742,3
broken witt rebels,shake me down,0.523,0.652,-4.942,0.0448,0.166,4.11e-06,0.0978,0.275,157.989,0
ben harper and the innocent criminals,call it what it is,0.615,0.56,-7.721,0.0389,0.442,3.99e-06,0.132,0.502,131.859,3
jonny lang,before you hit the ground,0.724,0.876,-5.854,0.0873,0.16,0.00278,0.116,0.812,92.169,3
jimi charles moody,turns to gold,0.476,0.869,-4.13,0.0371,0.00918,3.44e-05,0.0582,0.613,77.47,0
steppenwolf,the pusher,0.467,0.381,-13.808,0.0264,0.235,0.123,0.187,0.697,81.754,6
tedeschi trucks band,don't know what it means,0.644,0.623,-9.209,0.0358,0.409,0.015,0.378,0.777,91.661,3
jamestown revival,head on,0.504,0.729,-4.91,0.0404,0.0947,8.85e-06,0.114,0.563,77.472,3
goodbye june,oh no,0.26,0.978,-3.842,0.217,0.0005,0.000107,0.28,0.272,133.104,0
dorothy,shelter,0.563,0.299,-9.909,0.032,0.49,0.0,0.305,0.129,115.147,6
jimi hendrix,hey joe,0.346,0.768,-5.695,0.0377,0.00603,0.38,0.0244,0.532,169.492,0
mick flannery,i own you,0.538,0.721,-5.974,0.0342,0.19,5.73e-05,0.0723,0.339,141.969,0
pink floyd,money,0.469,0.537,-10.421,0.152,0.0241,0.00201,0.269,0.783,124.193,3
t. rex,get it on,0.728,0.878,-6.926,0.0564,0.176,0.856,0.61,0.911,126.59,4
jimmie vaughan,dengue woman blues,0.395,0.337,-10.71,0.0472,0.338,0.0438,0.165,0.586,178.287,6
gary clark jr.,don't owe you a thang,0.445,0.966,-3.751,0.054,0.0149,0.000915,0.164,0.321,109.482,0
kaleo,hot blood,0.325,0.903,-3.173,0.117,0.00327,6.13e-06,0.0962,0.401,148.446,0
jack white,i'm shakin',0.49,0.781,-10.1,0.268,0.0108,0.00118,0.065,0.764,79.166,3
the heavy,turn up,0.533,0.907,-2.5,0.123,0.023,5.96e-05,0.617,0.512,142.098,5
rival sons,open my eyes,0.374,0.896,-4.668,0.0424,0.0181,0.000205,0.356,0.511,148.593,0
madness,mr. apples,0.547,0.853,-2.49,0.0355,0.2,2.98e-06,0.254,0.723,137.561,0
elvis presley,jailhouse rock,0.647,0.582,-9.538,0.0755,0.41,1.93e-06,0.0715,0.915,167.396,3
benjamin booker,violent shiver,0.249,0.97,-5.879,0.121,0.0226,0.13,0.0701,0.26,165.059,0
cage the elephant,ain't no rest for the wicked - original version,0.635,0.914,-5.631,0.111,0.0597,0.0,0.601,0.922,156.014,5
white denim,ha ha ha ha (yeah),0.713,0.911,-5.45,0.0467,0.00808,0.0,0.131,0.927,134.822,3
goldlink,joke ting (feat. ari pensmith),0.83,0.594,-5.4,0.0432,0.188,4.85e-06,0.0881,0.718,140.006,3
jay daniel,solo,0.737,0.549,-9.227,0.105,0.313,0.928,0.0874,0.378,136.092,4
andrew ashong,eye mo k,0.518,0.546,-10.089,0.0859,0.428,0.265,0.129,0.592,117.986,3
baba stiltz,running to chad,0.876,0.661,-5.174,0.0459,0.0759,0.274,0.0599,0.967,137.985,3
sunni colón,mornin dew,0.471,0.466,-11.466,0.0469,0.183,0.725,0.121,0.104,102.988,4
daniel caesar,frontal lobe muzik,0.681,0.568,-6.264,0.136,0.439,0.000173,0.446,0.301,140.004,5
goldlink,"u say (feat. tyler, the creator & jay prince)",0.926,0.68,-7.689,0.196,0.0471,0.000125,0.119,0.458,114.981,3
erika de casier,little bit - sydlandsmix by erika de casier and el trick,0.764,0.457,-10.071,0.0357,0.139,0.00673,0.11,0.549,130.964,3
daniel caesar,cyanide,0.589,0.652,-7.498,0.373,0.704,0.00055,0.125,0.486,158.49,2
erika de casier,do my thing,0.706,0.559,-8.721,0.0724,0.193,6.41e-05,0.0599,0.841,174.961,3
toyin agbetu,heartbreaker,0.808,0.72,-7.474,0.0683,0.000108,0.396,0.0949,0.719,115.727,3
amerie,i just died,0.716,0.601,-10.808,0.0514,0.0831,0.0016,0.0401,0.643,109.852,3
maïa,hold it down - original mix,0.652,0.639,-7.482,0.131,0.579,4.67e-05,0.16,0.537,97.033,3
baauer,way from me,0.457,0.4,-12.649,0.373,0.713,0.0636,0.518,0.242,82.806,2
jay daniel,paradise valley,0.788,0.887,-8.287,0.0548,0.449,0.896,0.11,0.405,117.813,4
