artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature
Enrique Guzman,Princesita (Princess) - Remasterizado,0.229,0.329,3.0,-12.943,1.0,0.0344,0.731,0.0,0.358,0.535,113.024,spotify:track:7ahmNSPyKxcqiQCqnWodlL,147093.0,4.0
Celia Cruz,Mango Mangüe,0.544,0.464,9.0,-13.377,1.0,0.0678,0.72,0.02,0.073,0.944,106.588,spotify:track:6QnCregbv97marA54XDfSi,172907.0,4.0
Theodore Roethke,Love Poems: The Pure Fury / The Renewal / The Sensualists,0.622,0.0596,11.0,-23.148,1.0,0.688,0.98,3.8e-06,0.321,0.447,79.627,spotify:track:2V4coFa8j1N54HjP3N250b,269613.0,4.0
Bobby Vee,How Many Tears,0.594,0.635,9.0,-9.404,1.0,0.0273,0.687,0.000172,0.0496,0.969,96.239,spotify:track:2RyjckhJBJcYp4Q0NQDou0,128173.0,4.0
Lesley Frost,The Runaway,0.705,0.145,3.0,-18.766,1.0,0.951,0.847,0.0,0.134,0.56,53.863,spotify:track:16fMxWW3HGSLhhFT9H7r6D,96573.0,4.0
Lesley Frost,October,0.724,0.0749,11.0,-21.9,1.0,0.888,0.895,0.0,0.147,0.28,99.662,spotify:track:4e7IuzDmCMKqvz1QlfGw9l,82067.0,5.0
Johnny Hallyday,L'idole des jeunes,0.498,0.237,2.0,-16.459,1.0,0.0435,0.854,0.0,0.107,0.514,117.919,spotify:track:3U5F2rmz3rQ7dzxQvxK66L,150367.0,4.0
Caetano Veloso,Marinheiro Só - Remastered 2006,0.465,0.77,4.0,-6.409,1.0,0.0456,0.452,0.0,0.542,0.823,105.644,spotify:track:6IE4zQsLGoNX2dvs9X01gQ,209773.0,4.0
Johnny Tillotson,Earth Angel,0.344,0.431,4.0,-9.631,1.0,0.0314,0.793,0.0,0.19,0.688,105.97,spotify:track:30Y2TmGEuFdIUX6Pm5nCjn,176667.0,3.0
Antônio Carlos Jobim,Change Partners,0.454,0.319,7.0,-14.334,1.0,0.0337,0.7,0.00196,0.32,0.308,132.336,spotify:track:5LMDR9OJOVfRAB99Vr96zn,163187.0,4.0
The Gentrys,Keep On Dancing,0.353,0.661,10.0,-10.699,1.0,0.0593,0.518,2.88e-06,0.232,0.642,152.771,spotify:track:0U2qjjKAGyednhFU0fxw1B,131840.0,4.0
The Marketts,Surfer's Stomp,0.442,0.452,2.0,-9.66,0.0,0.0568,0.534,0.898,0.0638,0.835,147.661,spotify:track:5hY7BaoT23IEirvJwqOCNF,117827.0,4.0
Jerry Adriani,Chorei A Noite Inteira (The Night Is Over),0.477,0.782,7.0,-3.585,1.0,0.0377,0.488,0.0,0.138,0.656,130.475,spotify:track:2M6E5aiyHkHfBQIKFDpUsN,131040.0,4.0
The Artistics,Girl I Need You,0.505,0.414,2.0,-14.66,1.0,0.0704,0.128,0.0,0.328,0.841,175.626,spotify:track:3RSj1QA6znFbSkSFIZG9f3,154600.0,4.0
